=== FLAT FEATURE MATRIX LOG ===
Feature names order: ['jit_enabled', 'total_startup_cost', 'total_cost', 'max_plan_rows', 'total_plan_width', 'Seq Scan', 'Hash Join', 'Nested Loop', 'Aggregate', 'Sort', 'Other_Operators']
Query 30: [0.0, -0.2068655639886856, -0.20491644740104675, -0.19568443298339844, 0.4543805718421936, 1.2320176362991333, 1.2760812044143677, 0.4695112705230713, 0.0, -0.17543236911296844, 0.7010769248008728]
Query 31: [0.0, 0.7969986200332642, 0.5239831805229187, -0.46323007345199585, 2.5805277824401855, 0.5124320983886719, 0.5372973084449768, -0.1898023933172226, 0.0, 1.271884560585022, -0.08988155424594879]
Query 32: [0.0, -0.8312849402427673, -0.8412208557128906, -0.4777340590953827, -0.7510689496994019, -0.20715336501598358, -0.9402703046798706, 1.7881386280059814, 0.0, -0.17543236911296844, 0.7010769248008728]
Query 33: [0.0, 0.1914346069097519, 0.2279643565416336, -0.48724865913391113, -0.8032734394073486, -0.9267388582229614, -0.9402703046798706, -0.1898023933172226, 0.0, -0.17543236911296844, -0.880840003490448]
Query 34: [0.0, -0.0696660503745079, -0.16644765436649323, -0.195714071393013, -0.9598869681358337, -0.9267388582229614, -0.2014864832162857, -0.8491160869598389, 1.4719600677490234, 1.271884560585022, -0.4853607714176178]
Query 35: [0.0, 0.10259675234556198, -0.03120032325387001, -0.4533216655254364, -0.6134388446807861, -0.20715336501598358, -0.2014864832162857, -0.8491160869598389, 0.0, -1.6227493286132812, -0.880840003490448]
Query 36: [0.0, 0.2704010009765625, 0.0741359144449234, 0.678488552570343, 1.0926992893218994, -0.9267388582229614, -0.9402703046798706, -0.8491160869598389, 0.0, -0.17543236911296844, -1.2763192653656006]
Query 37: [0.0, -0.7024288177490234, -0.7091448307037354, -0.4136781096458435, -0.49479225277900696, -0.20715336501598358, -0.2014864832162857, -0.8491160869598389, -1.4719600677490234, 1.271884560585022, -0.4853607714176178]
Query 38: [0.0, -0.6046735048294067, -0.3548082113265991, 2.359614849090576, -0.9551410675048828, -0.20715336501598358, -0.2014864832162857, -0.8491160869598389, 0.0, -1.6227493286132812, -0.4853607714176178]
Query 39: [0.0, 2.4618799686431885, 2.1949403285980225, 2.359614849090576, 0.0889490395784378, -0.20715336501598358, 0.5372973084449768, -0.1898023933172226, 1.4719600677490234, 1.271884560585022, 0.3055976629257202]
Query 40: [0.0, -0.7401719689369202, -0.7490012645721436, -0.49285855889320374, -0.829375684261322, -0.9267388582229614, -0.9402703046798706, -0.1898023933172226, 0.0, -1.6227493286132812, -0.880840003490448]
Query 41: [0.0, -0.009220363572239876, -0.04597695171833038, -0.4916739761829376, -0.5493696928024292, -0.20715336501598358, -0.2014864832162857, 0.4695112705230713, -1.4719600677490234, -0.17543236911296844, 1.4920353889465332]
Query 42: [0.0, -0.17026057839393616, 0.5467235445976257, -0.09676504880189896, -0.3002118170261383, -0.20715336501598358, -0.2014864832162857, 1.7881386280059814, -1.4719600677490234, 1.271884560585022, 1.0965561866760254]
Query 43: [0.0, -0.8030082583427429, -0.8150100708007812, -0.4920097589492798, -0.2005486786365509, -0.20715336501598358, -0.9402703046798706, -0.1898023933172226, 2.943920135498047, -0.17543236911296844, -0.4853607714176178]
Query 44: [0.0, 1.0225244760513306, 0.7029972672462463, 1.4578857421875, 1.0926992893218994, -0.9267388582229614, -0.9402703046798706, -0.8491160869598389, 0.0, -0.17543236911296844, -1.2763192653656006]
Query 45: [0.0, -0.5285966992378235, -0.45330119132995605, -0.36613669991493225, 1.8116977214813232, 1.2320176362991333, 0.5372973084449768, 2.4474523067474365, -1.4719600677490234, -0.17543236911296844, 1.887514591217041]
